mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
8,hot0,bench_eval,gsm8k,1319,396.289,1385284,675328,3.3284,3495.6406,1704.1299,5199.7705,2396.6969,2219.5118,5366.8183,110.2587,102.2012,249.1641,15.8199,11.5731,47.5413,84.7712,4.4744,4.106,10.3304,7.9771,667.0,0.9196,0.9105,0.0075,0.0079,1319,1319
8,hot20,bench_eval,gsm8k,1319,465.5077,1385284,675328,2.8335,2975.8562,1450.7343,4426.5905,2815.8455,2577.5193,6184.7514,125.0559,111.149,277.5953,18.6814,14.2871,53.3735,89.9387,5.2657,4.8178,11.886,7.9786,552.0,0.9151,0.9045,0.0077,0.0081,1319,1319
8,hot40,bench_eval,gsm8k,1319,477.2126,1385284,675328,2.764,2902.8653,1415.1511,4318.0165,2884.2948,2664.3176,6268.3126,122.0508,112.9649,262.3521,19.2049,14.9732,41.8901,91.4953,5.4056,4.9724,11.9692,7.9721,528.0,0.9196,0.9098,0.0075,0.0079,1319,1319
8,hot60,bench_eval,gsm8k,1319,481.675,1385284,675328,2.7384,2875.9724,1402.0408,4278.0132,2912.7521,2683.0767,6402.9256,122.4148,114.7775,245.6287,19.4609,15.1382,49.1541,93.3175,5.4605,5.0137,12.3049,7.9762,525.0,0.9121,0.903,0.0078,0.0082,1319,1319
8,hot80,bench_eval,gsm8k,1319,485.1624,1385284,675328,2.7187,2855.2993,1391.9626,4247.262,2933.4105,2712.339,6414.0756,125.0376,115.8363,267.27,19.5585,15.1024,53.6321,93.8804,5.4958,5.0713,12.2766,7.975,519.0,0.9143,0.9052,0.0077,0.0081,1319,1319
8,hot100,bench_eval,gsm8k,1319,483.8649,1385284,675328,2.726,2862.9559,1395.6952,4258.6511,2926.1369,2700.1994,6399.3263,124.6763,115.6096,250.041,19.5174,15.1623,39.9171,94.8974,5.4823,5.0424,12.2933,7.9766,525.0,0.9189,0.9113,0.0075,0.0078,1319,1319
16,hot0,bench_eval,gsm8k,1319,276.4752,1385284,675328,4.7708,5010.5185,2442.6352,7453.1538,3340.9476,3089.38,7388.9136,128.2234,105.4376,507.8483,22.2692,13.7595,83.4031,107.4925,6.2871,5.7907,13.7932,15.9389,1032.0,0.9189,0.9083,0.0075,0.008,1319,1319
16,hot20,bench_eval,gsm8k,1319,317.2044,1385284,675328,4.1582,4367.1654,2128.9996,6496.1651,3830.2379,3564.6436,8524.7387,137.9746,115.643,350.3418,25.685,16.7461,90.5392,115.4298,7.2256,6.6982,16.317,15.9269,830.0,0.9151,0.9067,0.0077,0.008,1319,1319
16,hot40,bench_eval,gsm8k,1319,330.9617,1385284,675328,3.9854,4185.6327,2040.5022,6226.1349,3998.6009,3694.2672,9026.9783,139.7681,118.5095,571.7872,26.8977,17.9569,92.2745,114.943,7.5515,6.9616,17.4277,15.9358,912.0,0.9196,0.9113,0.0075,0.0078,1319,1319
16,hot60,bench_eval,gsm8k,1319,335.4849,1385284,675328,3.9316,4129.1993,2012.9908,6142.1901,4052.8902,3748.4401,8874.7221,142.4826,120.9093,337.2797,27.4133,18.328,94.166,117.5134,7.6525,7.0383,17.0406,15.9344,893.0,0.9196,0.9113,0.0075,0.0078,1319,1319
16,hot80,bench_eval,gsm8k,1319,337.692,1385284,675328,3.9059,4102.2112,1999.834,6102.0452,4081.1443,3806.3163,9369.9214,144.7213,122.1067,495.9239,27.4256,18.3768,95.2162,118.0735,7.7034,7.1609,18.0539,15.9406,877.0,0.9174,0.9105,0.0076,0.0079,1319,1319
16,hot100,bench_eval,gsm8k,1319,339.2929,1385284,675328,3.8875,4082.8563,1990.3985,6073.2548,4098.5083,3824.1547,8855.9773,144.1382,122.6648,462.8511,27.5404,18.4677,95.4445,119.339,7.7385,7.1778,17.0872,15.9329,879.0,0.9189,0.9105,0.0075,0.0079,1319,1319
32,hot0,bench_eval,gsm8k,1319,202.4628,1385284,675328,6.5148,6842.1668,3335.5664,10177.7332,4881.1629,4553.7963,10978.4302,163.2354,121.7271,1316.335,32.6946,16.9605,96.7368,145.1446,9.2327,8.5822,21.0501,31.7997,1586.0,0.9113,0.9007,0.0078,0.0082,1319,1319
32,hot20,bench_eval,gsm8k,1319,231.6431,1385284,675328,5.6941,5980.2517,2915.3815,8895.6332,5566.3169,5194.0102,12274.1259,177.4952,135.1115,1326.4573,37.4756,20.7689,104.8124,153.0238,10.5456,9.836,23.6227,31.6952,1530.0,0.9174,0.9083,0.0076,0.008,1319,1319
32,hot40,bench_eval,gsm8k,1319,239.5647,1385284,675328,5.5058,5782.5047,2818.9796,8601.4843,5769.7863,5349.5338,13399.7429,180.172,143.7675,1261.5316,39.0556,22.4837,106.991,155.1981,10.9386,10.0882,25.8452,31.7674,1407.0,0.9136,0.9037,0.0077,0.0081,1319,1319
32,hot60,bench_eval,gsm8k,1319,251.2093,1385284,675328,5.2506,5514.4618,2688.3083,8202.7701,6051.3336,5588.996,13873.9037,184.8881,142.3217,1195.5082,40.8145,24.0028,109.5756,155.8611,11.4803,10.6058,26.7956,31.7731,1284.0,0.9196,0.9113,0.0075,0.0078,1319,1319
32,hot80,bench_eval,gsm8k,1319,252.1917,1385284,675328,5.2301,5492.9795,2677.8356,8170.8152,6077.5475,5616.3569,13852.4493,186.0518,144.2379,1242.5057,40.976,24.0174,111.6982,157.0148,11.5293,10.61,26.8859,31.7865,1312.0,0.9181,0.909,0.0076,0.0079,1319,1319
32,hot100,bench_eval,gsm8k,1319,252.9059,1385284,675328,5.2154,5477.4678,2670.2737,8147.7415,6090.842,5664.5376,13731.7664,186.2744,146.2413,1226.5221,41.0627,24.0467,111.8048,159.4034,11.5549,10.768,26.5135,31.766,1294.0,0.9219,0.9128,0.0074,0.0078,1319,1319
64,hot0,bench_eval,gsm8k,1319,162.2615,1385284,675328,8.1289,8537.3522,4161.9718,12699.3241,7784.2394,7193.8898,18153.5061,279.3179,169.1526,3205.6351,51.8499,25.5765,142.6469,216.0054,14.6867,13.5647,34.5804,63.2769,2945.0,0.9219,0.9143,0.0074,0.0077,1319,1319
64,hot20,bench_eval,gsm8k,1319,176.2924,1385284,675328,7.4819,7857.8758,3830.7261,11688.6019,8444.3744,7918.6114,18814.9478,276.8863,176.1339,2829.6138,57.1172,30.4671,149.357,208.4619,15.9833,14.847,35.8481,63.1799,2438.0,0.9105,0.9014,0.0079,0.0082,1319,1319
64,hot40,bench_eval,gsm8k,1319,186.3067,1385284,675328,7.0797,7435.5035,3624.8189,11060.3224,8927.8865,8204.6185,20763.3781,278.3335,179.1846,2953.259,60.4543,34.9956,151.3026,205.067,16.9267,15.5477,39.6067,63.207,1996.0,0.9181,0.9113,0.0076,0.0078,1319,1319
64,hot60,bench_eval,gsm8k,1319,194.459,1385284,675328,6.7829,7123.7852,3472.8558,10596.641,9312.5729,8537.1505,21212.3169,284.7263,186.733,2980.2553,62.8862,37.26,155.7307,213.9879,17.667,16.1974,40.7693,63.1665,2063.0,0.9234,0.9158,0.0073,0.0076,1319,1319
64,hot80,bench_eval,gsm8k,1319,199.2315,1385284,675328,6.6204,6953.1373,3389.6647,10342.802,9553.1079,8820.5322,21492.1825,309.0077,188.5049,3301.0162,64.3213,38.8334,157.6775,215.7946,18.0902,16.6788,41.5218,63.2458,1822.0,0.9219,0.9136,0.0074,0.0077,1319,1319
64,hot100,bench_eval,gsm8k,1319,202.9232,1385284,675328,6.5,6826.6415,3327.9978,10154.6394,9714.5616,9009.1582,21781.7971,292.2083,190.5786,2967.2618,65.6906,37.8639,162.3997,237.2812,18.439,17.1791,42.1702,63.1446,1810.0,0.9181,0.9098,0.0076,0.0079,1319,1319
