mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
32,hess0,bench_eval,gsm8k,1319,205.4475,1385284,675328,6.4201,6742.7637,3287.1073,10029.871,4949.2576,4566.5654,11109.9748,166.7266,122.8112,1396.484,33.0748,16.9943,96.8395,146.8531,9.3592,8.621,21.3025,31.7749,1655.0,0.9212,0.9136,0.0074,0.0077,1319,1319
32,hess20,bench_eval,gsm8k,1319,251.9343,1385284,675328,5.2355,5498.5917,2680.5716,8179.1634,6070.1931,5640.9013,13843.1561,186.5535,141.4365,1240.9334,41.0421,23.5521,109.9467,178.9771,11.514,10.6747,26.7825,31.7804,1396.0,0.9196,0.9121,0.0075,0.0078,1319,1319
32,hess40,bench_eval,gsm8k,1319,253.5036,1385284,675328,5.2031,5464.5537,2663.978,8128.5317,6108.2322,5628.4511,13582.6416,189.9159,144.417,1396.5859,41.2146,24.1151,111.5405,157.5938,11.5818,10.7194,25.9585,31.7816,1255.0,0.9113,0.903,0.0078,0.0082,1319,1319
32,hess60,bench_eval,gsm8k,1319,254.6233,1385284,675328,5.1802,5440.5226,2652.2628,8092.7855,6131.8611,5674.0653,14064.0127,187.1647,143.2322,1374.1675,41.377,24.1422,111.683,159.0748,11.6335,10.7673,27.1782,31.7643,1343.0,0.9136,0.9045,0.0077,0.0081,1319,1319
32,hess80,bench_eval,gsm8k,1319,256.0666,1385284,675328,5.151,5409.8573,2637.3134,8047.1708,6168.5673,5711.1767,13863.1184,188.4901,145.0603,1433.2515,41.7801,24.1531,112.1697,161.6419,11.7027,10.8286,26.7668,31.7743,1343.0,0.9219,0.9128,0.0074,0.0078,1319,1319
32,hess100,bench_eval,gsm8k,1319,256.0137,1385284,675328,5.1521,5410.9758,2637.8587,8048.8345,6166.8101,5716.8094,13653.9667,186.6563,143.1891,1238.39,41.6967,24.2279,111.3315,165.7849,11.7028,10.8472,26.4591,31.7718,1346.0,0.9196,0.9105,0.0075,0.0079,1319,1319
64,hess0,bench_eval,gsm8k,1319,163.8419,1385284,675328,8.0504,8455.0051,4121.8275,12576.8326,7853.5373,7313.3623,18048.2003,266.4763,173.2477,2876.3234,52.6813,26.4281,150.8729,220.2847,14.8475,13.7594,34.103,63.2245,2314.0,0.9158,0.906,0.0076,0.008,1319,1319
64,hess20,bench_eval,gsm8k,1319,196.5743,1385284,675328,6.7099,7047.1263,3435.4845,10482.6107,9411.0528,8769.0591,21030.407,299.8649,183.5076,3396.1189,63.261,40.2078,153.1614,229.3971,17.8301,16.5305,40.6343,63.1475,2073.0,0.9196,0.9121,0.0075,0.0078,1319,1319
64,hess40,bench_eval,gsm8k,1319,199.5284,1385284,675328,6.6106,6942.7921,3384.6214,10327.4135,9569.7808,8867.5456,21575.7834,289.0518,190.325,2849.041,64.648,39.1013,155.7335,227.1974,18.1619,16.8164,41.7429,63.2619,2002.0,0.9143,0.906,0.0077,0.008,1319,1319
64,hess60,bench_eval,gsm8k,1319,204.0915,1385284,675328,6.4628,6787.563,3308.947,10096.51,9778.2282,9029.1504,22080.9872,297.5826,198.6233,2915.9213,65.9554,36.4825,164.4094,263.0115,18.5531,17.1115,42.6757,63.1946,1690.0,0.9181,0.9105,0.0076,0.0079,1319,1319
