mc,variant,schema,task,completed,duration,total_input_tokens,total_output_tokens,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,concurrency,max_output_tokens_per_s,acc_exact_match__flexible-extract,acc_exact_match__strict-match,acc_exact_match_stderr__flexible-extract,acc_exact_match_stderr__strict-match,n_effective,n_original
8,hot0,bench_eval,gsm8k,1319,395.6677,1385284,675328,3.3336,3501.1302,1706.8062,5207.9364,2391.9901,2231.396,5476.6109,110.3862,101.8016,249.5437,15.8203,11.5661,46.3604,83.3401,4.465,4.1301,10.5046,7.974,643.0,0.9158,0.9075,0.0076,0.008,1319,1319
8,hot20,bench_eval,gsm8k,1319,460.1976,1385284,675328,2.8662,3010.1939,1467.474,4477.6678,2782.0314,2587.316,6134.4222,119.4389,110.7517,291.0054,18.5543,14.1135,53.9367,89.5888,5.2106,4.8344,11.697,7.9737,558.0,0.9143,0.9052,0.0077,0.0081,1319,1319
8,hot40,bench_eval,gsm8k,1319,480.4602,1385284,675328,2.7453,2883.2438,1405.5856,4288.8295,2905.2779,2683.6225,6635.7717,124.8192,112.825,260.6791,19.3251,15.0436,41.6202,91.349,5.4412,5.0049,12.6935,7.9758,533.0,0.9189,0.9083,0.0075,0.008,1319,1319
8,hot60,bench_eval,gsm8k,1319,485.7258,1385284,675328,2.7155,2851.9875,1390.3481,4242.3357,2936.9194,2707.3077,6601.2522,125.9696,114.8001,357.3074,19.5878,15.1567,40.0317,93.3601,5.5009,5.0361,12.692,7.9753,520.0,0.9174,0.9098,0.0076,0.0079,1319,1319
8,hot80,bench_eval,gsm8k,1319,481.8961,1385284,675328,2.7371,2874.6526,1401.3974,4276.0501,2914.096,2692.4804,6383.8483,124.6351,115.1851,273.0957,19.3987,15.0346,39.2197,93.6313,5.4588,5.0394,12.2289,7.9762,532.0,0.9204,0.9143,0.0075,0.0077,1319,1319
8,hot100,bench_eval,gsm8k,1319,482.2713,1385284,675328,2.735,2872.4165,1400.3073,4272.7238,2916.2644,2697.0962,6510.6173,134.2023,115.6261,282.6525,19.4114,15.026,39.7264,94.2418,5.4443,5.0152,12.1081,7.9759,523.0,0.9151,0.9083,0.0077,0.008,1319,1319
16,hot0,bench_eval,gsm8k,1319,274.1955,1385284,675328,4.8104,5052.1771,2462.9438,7515.1209,3313.4503,3080.6489,7227.2466,127.4141,105.3306,439.2514,22.1086,13.7236,83.5629,108.4775,6.2349,5.7903,13.9024,15.9391,1085.0,0.9219,0.9136,0.0074,0.0077,1319,1319
16,hot20,bench_eval,gsm8k,1319,314.2617,1385284,675328,4.1971,4408.0586,2148.9351,6556.9937,3795.523,3538.9081,8442.4861,138.6867,115.6304,349.9779,25.5232,16.6097,90.4098,123.8805,7.1562,6.674,15.7691,15.9303,879.0,0.9158,0.909,0.0076,0.0079,1319,1319
16,hot40,bench_eval,gsm8k,1319,331.5145,1385284,675328,3.9787,4178.653,2037.0995,6215.7525,4003.9841,3728.5808,9024.4498,141.6407,118.8863,574.7189,26.8896,17.9735,92.4547,122.3163,7.5584,7.0345,17.431,15.9307,895.0,0.9189,0.9105,0.0075,0.0079,1319,1319
16,hot60,bench_eval,gsm8k,1319,340.7192,1385284,675328,3.8712,4065.7643,1982.0661,6047.8304,4116.4701,3792.2528,9465.8836,144.0665,121.5475,552.5072,27.5993,18.4858,94.074,119.555,7.7738,7.1609,18.2853,15.9358,878.0,0.9128,0.903,0.0078,0.0082,1319,1319
16,hot80,bench_eval,gsm8k,1319,339.8386,1385284,675328,3.8813,4076.2998,1987.2022,6063.502,4103.9218,3815.3277,9057.1629,144.6154,122.2387,446.3203,27.5736,18.5058,95.0336,123.1521,7.7482,7.1727,17.4198,15.9284,878.0,0.9196,0.9121,0.0075,0.0078,1319,1319
16,hot100,bench_eval,gsm8k,1319,337.9514,1385284,675328,3.9029,4099.0631,1998.2993,6097.3625,4083.1837,3784.2261,9208.5624,144.7491,122.2228,412.8527,27.4421,18.4502,95.6478,122.4725,7.7073,7.1213,17.7799,15.9364,895.0,0.9212,0.9121,0.0074,0.0078,1319,1319
